HRI Rank,Country,ISO,Continent,Population,Life Expectency,Ladder of Life,ecological footprint,HPI,GDP per Capita
,Libya,LBY,4,6871.3,72.5,,,,1.55
40,Belgium,BEL,3,11589.6,80.4,6.84,4.95,48.6,1.55
,Comoros,COM,5,869.6,64.5,,,,1.55
49,China,CHN,8,1439323.8,77.1,5.77,3.74,45.6,1.55
,Malaysia,MYS,8,32366,76.4,,3.92,,1.55
51,Ethiopia,ETH,5,114963.6,66.9,4.55,0.9,45.4,1.55
69,Saudi Arabia,SAU,4,34813.9,74.6,6.56,5.31,42,1.55
,Burkina Faso,BFA,5,20903.3,62,,,,1.55
81,Benin,BEN,5,12123.2,62.1,4.41,1.33,38.3,1.55
,Niger,NER,5,24206.6,62.8,,,,1.55
61,Montenegro,MNE,7,628.1,75.7,5.72,3.77,44.3,1.55
71,Turkey,TUR,4,84339.1,77.4,4.86,3.43,41.7,1.55
58,Ukraine,UKR,7,43733.8,71.8,5.27,2.56,44.6,1.55
,Congo (Kinshasa),COD,5,89561.4,61,,,,1.55
68,Canada,CAN,2,37742.2,81.8,7.02,7.25,42,1.55
64,Bulgaria,BGR,7,6948.4,73.5,5.6,3.41,43.7,1.55
75,Myanmar,MMR,8,54409.8,67.2,4.43,1.72,40.2,1.55
66,Cameroon,CMR,5,26545.9,59.6,5.24,1.2,42.2,1.55
,Gabon,GAB,5,2225.7,66.7,,,,1.55
74,South Korea,KOR,8,51269.2,83.2,5.79,5.94,40.9,1.55
77,Cote d'Ivoire,CIV,5,26378.3,58.2,5.26,1.53,39.4,1.55
,Sudan,SDN,5,43849.3,65.4,,,,1.55
67,Ghana,GHA,5,31072.9,64.4,5.32,2.01,42.2,1.55
,Mali,MLI,5,20250.8,59.7,,,,1.55
,Rwanda,RWA,5,12952.2,69.3,,,,1.55
,Lebanon,LBN,4,6825.4,78.3,,,,1.55
,Malawi,MWI,5,19130,64.8,,,,1.55
79,Kazakhstan,KAZ,7,18776.7,73.7,6.17,5.51,38.8,1.55
,Haiti,HTI,1,11402.5,64.2,,,,1.55
,Guinea,GIN,5,13132.8,62,,,,1.55
,Burundi,BDI,5,11890.8,62,,,,1.55
76,United States of America,USA,2,331002.6,77.4,7.03,7.2,39.7,1.55
,Togo,TGO,5,8278.7,61.2,,,,1.55
80,Tanzania,TZA,5,59734.2,66,3.79,1.06,38.4,1.55
82,Lithuania,LTU,7,2722.3,74.5,6.39,6.21,38.1,1.55
,Namibia,NAM,5,2540.9,,4.45,1.82,,1.55
,Bhutan,BTN,6,771.6,,,,,1.55
63,India,IND,6,1380004.4,69.8,4.23,1.14,43.8,1.55
86,South Africa,ZAF,5,59308.7,60.6,4.95,2.73,34.3,1.55
,Eswatini,SWZ,5,1160.2,60.6,,,,1.55
85,Russia,RUS,7,145934.5,70.4,5.5,5.05,35.1,1.55
,Mauritania,MRT,5,4649.7,64.9,,,,1.55
78,Estonia,EST,7,1326.5,78.4,6.45,6.8,38.9,1.55
53,Zambia,ZMB,5,18384,64.2,4.84,0.89,45.2,1.55
84,United Arab Emirates,ARE,4,9890.4,77.8,6.46,7.88,35.6,1.55
83,Latvia,LVA,7,1886.2,75.3,6.23,6.61,36.7,1.55
72,Nigeria,NGA,5,206139.6,55.1,5.5,0.96,41.2,1.55
,Hong Kong,HKG,8,7497,85.1,5.3,,,1.55
87,Bahrain,BHR,4,1701.6,76.5,6.17,8.21,33,1.55
,Kuwait,KWT,4,4270.6,75,,6.72,,1.55
,Turkmenistan,TKM,7,6031.2,,,5.16,,1.55
,Botswana,BWA,5,2351.6,69.8,,,,1.55
,Luxembourg,LUX,3,626,81.4,,9.79,,1.55
,Trinidad and Tobago,TTO,1,1399.5,73.4,,,,1.55
,Chad,TCD,5,16425.9,54.4,,,,1.55
,Afghanistan,AFG,6,38928.3,64.9,,,,1.55
,Sierra Leone,SLE,5,7977,55.1,,,,1.55
88,Zimbabwe,ZWE,5,14862.9,61.7,3.16,0.93,32,1.55
,Lesotho,LSO,5,2142.3,,,,,1.55
,Central African Republic,CAF,5,4829.8,53.8,,,,1.55
,Mongolia,MNG,8,3278.3,,6.01,9.95,,1.55
,Qatar,QAT,4,2881.1,79.6,,12.12,,1.55
